source_file,parsed_domain,used_in_skill
#10_产污系数定量核算指南.md,产污系数;总量控制,08_产污系数合理性;09_产污系数定量核算;15_VOCs总量控制
#17_废气收集形式及排气量计算指南.md,废气收集,10_废气收集形式及排气量
#18_废气收集风量与设计风量核算指南.md,废气收集,11_废气收集风量与设计风量
#19_废气收集效率判定指南.md,废气收集;总量控制,12_废气收集效率;15_VOCs总量控制
#2_环评投资核算指南.md,项目基本情况,02_环保投资
#5_建设内容编制完整性指南.md,建设内容,04_建设内容
#6_2023年佛山市顺德区生态环境状态公报.txt,环境质量现状,05_环境质量现状数据
#6_2024年佛山市顺德区生态环境状态公报.txt,环境质量现状,05_环境质量现状数据
#7_GB12348噪声排放限值.md,排放标准,07_污染物排放标准
#7_收纳水体地表水执行标准.csv,环境质量标准,06_环境质量执行标准
#7_环境质量标准限值速查.md,排放标准;环境质量标准,06_环境质量执行标准;07_污染物排放标准
#8_GB31572表4排放限值.md,排放标准,07_污染物排放标准
#8_塑料制品业典型污染源及执行标准.csv,,
#8_塑料制品业典型污染源及执行标准.md,固体废物;排放标准,07_污染物排放标准;14_危险废物识别
#9_塑料制品业产污系数_废气_官方手册.md,产污系数,08_产污系数合理性;09_产污系数定量核算
#9_塑料制品业产污系数_废气_速查.md,产污系数,08_产污系数合理性;09_产污系数定量核算
DB44_2367-2022.md,废气治理;总量控制;排放标准,07_污染物排放标准;13_活性炭参数;15_VOCs总量控制
DB44_26-2001.md,排放标准,07_污染物排放标准
DB44_27-2001.md,排放标准,07_污染物排放标准
DB44_814-2010.md,标准全文引用,07_污染物排放标准
DB44_815-2010.md,标准全文引用,07_污染物排放标准
DIFY_KB_INDEX.md,,
GB_12348-2008.md,排放标准,07_污染物排放标准
GB_14554-93.md,排放标准,07_污染物排放标准
GB_16297-1996.md,标准全文引用,07_污染物排放标准
GB_18597-2023.md,固体废物,14_危险废物识别
GB_18599-2020.md,固体废物,14_危险废物识别
GB_3095-2012.md,环境质量标准,06_环境质量执行标准
GB_3096-2008.md,环境质量标准,06_环境质量执行标准
GB_31572-2015.md,排放标准,07_污染物排放标准
GB_33372-2020.md,标准全文引用,07_污染物排放标准
GB_37822-2019.md,废气收集;废气治理,10_废气收集形式及排气量;13_活性炭参数
GB_3838-2002.md,环境质量标准,06_环境质量执行标准
GB_38508-2020.md,标准全文引用,07_污染物排放标准
GB_41616-2022.md,标准全文引用,07_污染物排放标准
HJ_1122-2020.md,标准全文引用,08_产污系数合理性;09_产污系数定量核算
HJ_1207-2021.md,标准全文引用,07_污染物排放标准
HJ_169-2018.md,,
HJ_2025-2012.md,,
HJ_2026-2013.md,废气收集;废气治理,10_废气收集形式及排气量;11_废气收集风量与设计风量;13_活性炭参数
HJ_819-2017.md,标准全文引用,07_污染物排放标准
HJ_884-2018.md,标准全文引用,04_建设内容;09_产污系数定量核算
HJ_942.md,,
national_economic_classification.json,行业分类,01_国民经济行业类别
national_economic_classification.jsonl,行业分类,01_国民经济行业类别
plastic_rubber_industry_classification_checked.md,行业分类,01_国民经济行业类别
三线一单_全部管控单元表格.json,,
三线一单_顺德管控单元.json,三线一单,03_三线一单
三线一单_顺德管控单元_完整.json,三线一单,03_三线一单
三线一单_顺德管控单元准入清单.json,三线一单,03_三线一单
三线一单_顺德管控单元准入清单.md,三线一单,03_三线一单
GB_T_18920-2020.md,环境质量标准;排放标准,06_环境质量执行标准;07_污染物排放标准
