chunk_id,source_id,chunk_type,content_length,content_sha256
GB_T_18920-2020_P001,GB_T_18920-2020,parent,1198,0592ddf1377591bc36ff5a23fc710a81f1cbd11051cfdd9ab43d3077fb276981
GB_T_18920-2020_P002,GB_T_18920-2020,parent,476,87b4e12b1ca90e3b681346f718aca8b2acda88651646199072b3c524118132f2
GB_T_18920-2020_P003,GB_T_18920-2020,parent,3068,5071207e12ba08ba9feddb955d2d758fa728d1f755e977fc62fb1165a246c2ad
GB_T_18920-2020_C001,GB_T_18920-2020,child,474,
GB_T_18920-2020_C002,GB_T_18920-2020,child,549,
GB_T_18920-2020_C003,GB_T_18920-2020,child,476,
GB_T_18920-2020_C004,GB_T_18920-2020,child,154,
GB_T_18920-2020_C005,GB_T_18920-2020,child,835,
GB_T_18920-2020_C006,GB_T_18920-2020,child,1376,
GB_T_18920-2020_C007,GB_T_18920-2020,child,683,
