child_id,parent_id,source_id,char_count,start_char,end_char,content_sha256
STD-DIFY-01-001_C001,STD-DIFY-01-001_P001,STD-DIFY-01-001,900,0,900,7c9bba8ad3ad46ba709de4d06714ea172e8a83355fe52a1b4c77ea9a2dcdff9d
STD-DIFY-01-001_C002,STD-DIFY-01-001_P001,STD-DIFY-01-001,506,750,1256,9470621c6c980d7d10e46dbd7ebba0c9248759ed6e3a7e0f0b2884e56cd740c5
STD-DIFY-01-002_C001,STD-DIFY-01-002_P001,STD-DIFY-01-002,900,0,900,7ef6dc2df4a5e5f89edeba5babfccd9e38f851c258c4428b8b7a1dd08f72a18f
STD-DIFY-01-002_C002,STD-DIFY-01-002_P001,STD-DIFY-01-002,447,750,1197,18b51b70cb95c46149fee6e163f72969346743981564935bcd853a8fc8ac58b2
STD-DIFY-02-001_C001,STD-DIFY-02-001_P001,STD-DIFY-02-001,900,0,900,a6c863fd4ae9aa807900e359d0572e05b05ccff7b89f8a3cc8c0b7bca6d920da
STD-DIFY-02-001_C002,STD-DIFY-02-001_P001,STD-DIFY-02-001,530,750,1280,8221a500283fd49c1faf03133dc1a270ab31e4bf0d934334826a4ef11fc298da
STD-DIFY-03-001_C001,STD-DIFY-03-001_P001,STD-DIFY-03-001,900,0,900,533aaff887e60f1d2375fa0536e48c7cd302157e8271e9d1c9fc737b65a4b931
STD-DIFY-03-001_C002,STD-DIFY-03-001_P001,STD-DIFY-03-001,362,750,1112,a9f4367822e59055fad4b193c1b3458ce7cd95dd3c7f4c659ec3d5392eb5f0f6
STD-DIFY-03-002_C001,STD-DIFY-03-002_P001,STD-DIFY-03-002,900,0,900,0da03a6914e1145a222ce416a99220d41c622ee47b7106ed9ce783c54a892c7f
STD-DIFY-03-002_C002,STD-DIFY-03-002_P001,STD-DIFY-03-002,350,750,1100,079cd01d936fac2c66cfe86ab2077ce7f6303a3ff3847c0e8d628c9b733d4741
STD-DIFY-04-001_C001,STD-DIFY-04-001_P001,STD-DIFY-04-001,900,0,900,5b18208b350af067e3b622ad74a018f09c8c3828777ac3fdac9da3e0cbadab95
STD-DIFY-04-001_C002,STD-DIFY-04-001_P001,STD-DIFY-04-001,397,750,1147,e9c55c037d000075d2f90e2fbdeb50ba6f7e9ef2c9f06379d4adbb0e5054bddf
STD-DIFY-05-001_C001,STD-DIFY-05-001_P001,STD-DIFY-05-001,900,0,900,cafa03ee3adee8c9d0a826af1e5c90fc711144e344a20b24fd475b34261dc305
STD-DIFY-05-001_C002,STD-DIFY-05-001_P001,STD-DIFY-05-001,407,750,1157,2412f1367dd9a9f4018c7a750986cc971147eacdb2268258f016f200de42f635
STD-DIFY-06-001_C001,STD-DIFY-06-001_P001,STD-DIFY-06-001,900,0,900,8a376fa7acd45299c3ffbf6dd64c653091c04ec78dcb0e1e248b3067de9aab87
STD-DIFY-06-001_C002,STD-DIFY-06-001_P001,STD-DIFY-06-001,729,750,1479,db6dc9a29d6fff64a6b35511d48ef620b68f7303624be64014eb407782d7d8ca
STD-DIFY-06-002_C001,STD-DIFY-06-002_P001,STD-DIFY-06-002,900,0,900,2b08f185ffcd5e01581f4c7f868eaca634973fcaa33d2557088d3a550713f739
STD-DIFY-06-002_C002,STD-DIFY-06-002_P001,STD-DIFY-06-002,692,750,1442,aff1fb8305273b8cf8f237d3d5581eda8303adc9fd50bc89d75260c2a59f4caa
STD-DIFY-06-003_C001,STD-DIFY-06-003_P001,STD-DIFY-06-003,900,0,900,536fe4e62a2a8dc2816892137ed2dbef80e8cff46e5794444e2330564ce6a83f
STD-DIFY-06-003_C002,STD-DIFY-06-003_P001,STD-DIFY-06-003,357,750,1107,b4902a3bc5dc75050e89f05eb43f7f672aa2563c5db8e57940448eef69decc2e
STD-DIFY-06-004_C001,STD-DIFY-06-004_P001,STD-DIFY-06-004,900,0,900,9d374a466a4fc0043a57fc5ee7139b7b26c14402bae51016e57dc98fb014eb03
STD-DIFY-06-004_C002,STD-DIFY-06-004_P001,STD-DIFY-06-004,882,750,1632,2c5e44b9f87ddd471414f99a2db5a98a55cdea57e88ceaf658e71f9d9f094074
