source_id,source_file,bytes,source_sha256,parent_count,child_count
SRC001,#10_产污系数定量核算指南.md,562,a1954b843790fd2ec5fa734a3e8de8a56b08e317ed51ddd9f64f7f84f16137be,1,1
SRC002,#17_废气收集形式及排气量计算指南.md,624,152add41393fd50fce1145fddd0523d1fb00546a8b899a3230073fe246e52f19,1,1
SRC003,#18_废气收集风量与设计风量核算指南.md,552,4a4c7ec76f6014ccfbf944a84e31d4047a8db105654b0abc9e32d56c9a336d88,1,1
SRC004,#19_废气收集效率判定指南.md,699,dccd6026c060ab606f4dec98ca714b44dd46658a6f48718d6d04370d84e82d6e,1,1
SRC005,#2_环评投资核算指南.md,366,148e5c9d9c991c671536192f19d8f3334be73b64af88e775d49d56f6db1c3c0d,1,1
SRC006,#5_建设内容编制完整性指南.md,485,ab0dc732b7706c63febf091905f686d9d3e507b042961ed9b9478bbc52a1b859,1,1
SRC007,#6_2023年佛山市顺德区生态环境状态公报.txt,3561,31487d7dc5ced8cfbbfab120035556d15d9bc1a5fcab62828c437762ed60b0d9,1,3
SRC008,#6_2024年佛山市顺德区生态环境状态公报.txt,3138,70d6a0966106900a6ffe428ccf1b986480fe68f5b5ba420f829e2d9eca9e236d,1,3
SRC009,#7_GB12348噪声排放限值.md,143,cd428b8178c03d3743cb4e05d8bbac3c4c40a6909863ea0da59d538519df0534,1,1
SRC010,#7_收纳水体地表水执行标准.csv,6809,9d11719ae7e5e9e901f73984ecf2059f9568fbc6bd70e0d9bd727203008116ac,1,6
SRC011,#7_环境质量标准限值速查.md,15425,3f4db8f509f1fa0a545a54c6a4a93ac45cf0763b89c87961e6985e7ee320ab87,3,13
SRC012,#8_GB31572表4排放限值.md,2166,2bce5e33461ba4c8376e1de66d4878ef75de16a0335b380d5d5eb5ea0b4dae41,1,3
SRC013,#8_塑料制品业典型污染源及执行标准.csv,7067,c3ebd6ecb3a314ee2b1ce3478eafb224c1a0f8c7999e2cb5bb939db995fd8e15,1,7
SRC014,#8_塑料制品业典型污染源及执行标准.md,3519,ebd01f6c56f8107ba3b29be2186931040170619ca9cdfa8f62cdc040f0bc4a4c,1,3
SRC015,#9_塑料制品业产污系数_废气_官方手册.md,38514,0cc785c9c0f48eb83d172ea21f3a394c0719996112f9b099e38a547241b77750,4,33
SRC016,#9_塑料制品业产污系数_废气_速查.md,5697,9c3f11542b148b1cb8eabee86847c5a92bab40259fdffde85ebc60258170e644,1,5
SRC017,DB44_2367-2022.md,40953,264cf199c9dca85e5d525be0c853071c31b0129cc5969827d462045ab2ee20c3,4,35
