"relative_path","bytes","sha256"
"01_正式知识源_70文件\#10_产污系数定量核算指南.md","562","a1954b843790fd2ec5fa734a3e8de8a56b08e317ed51ddd9f64f7f84f16137be"
"01_正式知识源_70文件\#17_废气收集形式及排气量计算指南.md","624","152add41393fd50fce1145fddd0523d1fb00546a8b899a3230073fe246e52f19"
"01_正式知识源_70文件\#18_废气收集风量与设计风量核算指南.md","552","4a4c7ec76f6014ccfbf944a84e31d4047a8db105654b0abc9e32d56c9a336d88"
"01_正式知识源_70文件\#19_废气收集效率判定指南.md","699","dccd6026c060ab606f4dec98ca714b44dd46658a6f48718d6d04370d84e82d6e"
"01_正式知识源_70文件\#2_环评投资核算指南.md","366","148e5c9d9c991c671536192f19d8f3334be73b64af88e775d49d56f6db1c3c0d"
"01_正式知识源_70文件\#5_建设内容编制完整性指南.md","485","ab0dc732b7706c63febf091905f686d9d3e507b042961ed9b9478bbc52a1b859"
"01_正式知识源_70文件\#6_2023年佛山市顺德区生态环境状态公报.txt","3561","31487d7dc5ced8cfbbfab120035556d15d9bc1a5fcab62828c437762ed60b0d9"
"01_正式知识源_70文件\#6_2024年佛山市顺德区生态环境状态公报.txt","3138","70d6a0966106900a6ffe428ccf1b986480fe68f5b5ba420f829e2d9eca9e236d"
"01_正式知识源_70文件\#7_环境质量标准限值速查.md","15425","3f4db8f509f1fa0a545a54c6a4a93ac45cf0763b89c87961e6985e7ee320ab87"
"01_正式知识源_70文件\#7_收纳水体地表水执行标准.csv","6809","9d11719ae7e5e9e901f73984ecf2059f9568fbc6bd70e0d9bd727203008116ac"
"01_正式知识源_70文件\#7_GB12348噪声排放限值.md","143","cd428b8178c03d3743cb4e05d8bbac3c4c40a6909863ea0da59d538519df0534"
"01_正式知识源_70文件\#8_塑料制品业典型污染源及执行标准.csv","7067","c3ebd6ecb3a314ee2b1ce3478eafb224c1a0f8c7999e2cb5bb939db995fd8e15"
"01_正式知识源_70文件\#8_塑料制品业典型污染源及执行标准.md","3519","ebd01f6c56f8107ba3b29be2186931040170619ca9cdfa8f62cdc040f0bc4a4c"
"01_正式知识源_70文件\#8_GB31572表4排放限值.md","2166","2bce5e33461ba4c8376e1de66d4878ef75de16a0335b380d5d5eb5ea0b4dae41"
"01_正式知识源_70文件\#9_塑料制品业产污系数_废气_官方手册.md","38514","0cc785c9c0f48eb83d172ea21f3a394c0719996112f9b099e38a547241b77750"
"01_正式知识源_70文件\#9_塑料制品业产污系数_废气_速查.md","5697","9c3f11542b148b1cb8eabee86847c5a92bab40259fdffde85ebc60258170e644"
"01_正式知识源_70文件\三线一单_全部管控单元表格.json","560414","dbefee2ceaaf8c27ec22c9571a0369cd700940e4073c9d59d7f35530c8b0e4fc"
"01_正式知识源_70文件\三线一单_顺德管控单元_完整.json","151335","58fd74a62fcc00a8c611fd753acec56d7c0985a6d87bc9bd27ebdf73ec3ceda8"
"01_正式知识源_70文件\三线一单_顺德管控单元.json","2734","b07630c68152220102ba712d78f6decfe0d89cfde651a55ab3343c85c7021b3b"
"01_正式知识源_70文件\三线一单_顺德管控单元准入清单.json","152966","87c2d4317ed88bc8c393aa3633064ccdc9ac5789f4ade1d0c026a42abb6b0b9f"
"01_正式知识源_70文件\三线一单_顺德管控单元准入清单.md","66339","a5106045ba9f1e184578a1418df3acb0c1fced6dc4d8ef69e921af42041e908a"
"01_正式知识源_70文件\DB44_2367-2022.md","40953","264cf199c9dca85e5d525be0c853071c31b0129cc5969827d462045ab2ee20c3"
"01_正式知识源_70文件\DB44_26-2001.md","53074","d42d2a095e0e9879a365309e94c4ef56b2052570307858a62f3a93d495d0fe9f"
"01_正式知识源_70文件\DB44_27-2001.md","50974","3408257edf02cb6d7fa324cd848cf8521277c659243cc19c950b3b66f7b62380"
"01_正式知识源_70文件\DB44_814-2010.md","18897","83ed57049f431197fe3d6ce48fe3cdb5d54db7941f85b6b04fb8685cb57db417"
"01_正式知识源_70文件\DB44_815-2010.md","28651","b13ee07dcf6016e3e8c1d0afdb24a00b6f1f10673719734068fadc1250cd54f5"
"01_正式知识源_70文件\DIFY_KB_INDEX.md","2217","0390cf3ff8d40e4ac4cc0521065755ffb55248e14ff0441df56d4bb4aa9d38bd"
"01_正式知识源_70文件\EVID_ENV_SHUNDE_2022.md","13959","73c022986aedeb92e59e35f9c92d7869475b86660ea70872df62767b3de3994d"
"01_正式知识源_70文件\EVID_GB18918_AMD_2025.md","5661","0e6fa6468b311a7b682f83bca8f5f673ec04f187ea8eab1113c38d4c23741c82"
"01_正式知识源_70文件\EVID_GB18918_CURRENT.md","24589","601a59fc0a6b24ce1db6c879669f454bb58ac28bb506fdbf0d28e27ffb8b1d63"
"01_正式知识源_70文件\EVID_GB34330_2017.md","13768","f14780b5e13072c598b54c9578617c9cc236359f681a62e79a39380b740802de"
