Metric,Type,GPT-4o,Qwen3-8B,RAG,FT,RAG+FT
ROUGE-1,N-grams,0.1818,0.192,0.2198,0.2857,0.3353
ROUGE-2,N-grams,0.0823,0.1172,0.1229,0.1738,0.2175
ROUGE-L,N-grams,0.1698,0.1844,0.2105,0.2871,0.2997
BLEU,N-grams,0.0017,0.0027,0.0026,0.0031,0.0034
Precision,Token,0.0259,0.0446,0.0387,0.0542,0.069
Recall,Token,0.1313,0.1436,0.1563,0.2218,0.2436
F1,Token,0.0383,0.0655,0.0622,0.0725,0.1139
Cosine,Semantic,0.8648,0.8628,0.9117,0.8913,0.9196
BERT-P,Semantic,0.6351,0.6804,0.7438,0.7128,0.7915
BERT-R,Semantic,0.7294,0.7366,0.7628,0.7486,0.793
BERT-F1,Semantic,0.678,0.706,0.7526,0.7292,0.7911
