Metric,Type,GPT-4o,Qwen3-8B,RAG,FT,RAG+FT,本研究_A,本研究_B,本研究_C,本研究_D,本研究计算状态
ROUGE-1,N-grams,0.1818,0.192,0.2198,0.2857,0.3353,0.392706,0.389266,0.370972,0.372792,complete
ROUGE-2,N-grams,0.0823,0.1172,0.1229,0.1738,0.2175,0.255149,0.239439,0.237354,0.243208,complete
ROUGE-L,N-grams,0.1698,0.1844,0.2105,0.2871,0.2997,0.251886,0.237453,0.247104,0.243557,complete
BLEU,N-grams,0.0017,0.0027,0.0026,0.0031,0.0034,0.157517,0.145128,0.141237,0.147926,complete
Precision,Token,0.0259,0.0446,0.0387,0.0542,0.069,0.296093,0.291942,0.270971,0.262347,complete
Recall,Token,0.1313,0.1436,0.1563,0.2218,0.2436,0.6745,0.688089,0.685464,0.766532,complete
F1,Token,0.0383,0.0655,0.0622,0.0725,0.1139,0.392706,0.389266,0.370972,0.372792,complete
Cosine,Semantic,0.8648,0.8628,0.9117,0.8913,0.9196,0.834629,0.84593,0.840257,0.849268,complete
BERT-P,Semantic,0.6351,0.6804,0.7438,0.7128,0.7915,0.673613,0.674425,0.660403,0.672486,"complete: bert-base-chinese, bert-score 0.3.13"
BERT-R,Semantic,0.7294,0.7366,0.7628,0.7486,0.793,0.762882,0.759401,0.759295,0.779419,"complete: bert-base-chinese, bert-score 0.3.13"
BERT-F1,Semantic,0.678,0.706,0.7526,0.7292,0.7911,0.714873,0.713999,0.705759,0.721638,"complete: bert-base-chinese, bert-score 0.3.13"
