question_id,group,correctness_likert5,evidence_use_likert5,actionability_likert5,regulatory_basis_likert5,skill_workflow_likert5
PL001_Emission_固体,A,5.0,5.0,5.0,N/A,N/A
PL001_Emission_固体,B,2.5,5.0,5.0,5.0,N/A
PL001_Emission_固体,C,2.5,5.0,5.0,N/A,5.0
PL001_Emission_固体,D,2.5,5.0,5.0,5.0,5.0
PL001_EnvQuality_Q01,A,2.5,5.0,5.0,N/A,N/A
PL001_EnvQuality_Q01,B,5.0,5.0,5.0,5.0,N/A
PL001_EnvQuality_Q01,C,2.5,5.0,5.0,N/A,5.0
PL001_EnvQuality_Q01,D,5.0,5.0,5.0,5.0,5.0
PL001_V01_Q01,A,5.0,5.0,5.0,N/A,N/A
PL001_V01_Q01,B,5.0,5.0,5.0,5.0,N/A
PL001_V01_Q01,C,5.0,5.0,5.0,N/A,5.0
PL001_V01_Q01,D,5.0,5.0,5.0,5.0,5.0
PL002_Emission_噪声,A,5.0,5.0,5.0,N/A,N/A
PL002_Emission_噪声,B,5.0,5.0,5.0,5.0,N/A
PL002_Emission_噪声,C,5.0,5.0,5.0,N/A,5.0
PL002_Emission_噪声,D,5.0,5.0,5.0,5.0,5.0
PL002_Emission_固体,A,2.5,5.0,5.0,N/A,N/A
PL002_Emission_固体,B,2.5,5.0,5.0,5.0,N/A
PL002_Emission_固体,C,2.5,5.0,5.0,N/A,5.0
PL002_Emission_固体,D,2.5,5.0,5.0,5.0,5.0
PL002_Emission_大气,A,5.0,5.0,5.0,N/A,N/A
PL002_Emission_大气,B,5.0,5.0,5.0,5.0,N/A
PL002_Emission_大气,C,5.0,5.0,5.0,N/A,5.0
PL002_Emission_大气,D,5.0,5.0,5.0,5.0,5.0
PL002_EnvQuality_Q01,A,2.5,5.0,5.0,N/A,N/A
PL002_EnvQuality_Q01,B,5.0,5.0,5.0,5.0,N/A
PL002_EnvQuality_Q01,C,2.5,5.0,5.0,N/A,5.0
PL002_EnvQuality_Q01,D,5.0,5.0,5.0,5.0,5.0
PL002_V01_Q01,A,5.0,5.0,5.0,N/A,N/A
PL002_V01_Q01,B,2.5,5.0,5.0,5.0,N/A
PL002_V01_Q01,C,2.5,5.0,2.5,2.5,5.0
PL002_V01_Q01,D,2.5,5.0,5.0,5.0,5.0
PL003_Emission_噪声,A,5.0,5.0,5.0,N/A,N/A
PL003_Emission_噪声,B,5.0,5.0,5.0,5.0,N/A
PL003_Emission_噪声,C,2.5,5.0,5.0,N/A,5.0
PL003_Emission_噪声,D,2.5,5.0,5.0,5.0,5.0
PL003_Emission_固体,A,5.0,5.0,5.0,N/A,N/A
PL003_Emission_固体,B,5.0,5.0,5.0,5.0,N/A
PL003_Emission_固体,C,5.0,5.0,5.0,N/A,5.0
PL003_Emission_固体,D,5.0,5.0,5.0,5.0,5.0
PL003_Emission_水污,A,2.5,5.0,5.0,N/A,N/A
PL003_Emission_水污,B,2.5,5.0,5.0,5.0,N/A
PL003_Emission_水污,C,2.5,5.0,5.0,N/A,5.0
PL003_Emission_水污,D,2.5,5.0,5.0,5.0,5.0
PL003_V01_Q01,A,5.0,5.0,5.0,N/A,N/A
PL003_V01_Q01,B,5.0,5.0,5.0,5.0,N/A
PL003_V01_Q01,C,5.0,5.0,5.0,N/A,5.0
PL003_V01_Q01,D,5.0,5.0,5.0,5.0,5.0
PL003_V01_Q03,A,5.0,2.5,5.0,N/A,N/A
PL003_V01_Q03,B,5.0,2.5,5.0,5.0,N/A
PL003_V01_Q03,C,5.0,2.5,5.0,N/A,5.0
PL003_V01_Q03,D,5.0,2.5,5.0,5.0,5.0
PL004_Emission_噪声,A,5.0,5.0,5.0,N/A,N/A
PL004_Emission_噪声,B,5.0,5.0,5.0,5.0,N/A
