question_id,project_id,audit_type,group,judgement,evidence_count,check_count,reference_count,missing_reference_count,issue_count,external_status,used_unprovided_external_knowledge,whole_task_abstention,manual_review_needed,judge_correctness,shared_score_100,normalized_score_100
PL001_V01_Q01,PL001,国民经济行业分类,A,正确,8,5,0,0,0,not_required,False,False,False,2,100.0,100.0
PL001_V01_Q01,PL001,国民经济行业分类,B,正确,5,5,3,0,0,verified,False,False,False,2,100.0,100.0
PL001_V01_Q01,PL001,国民经济行业分类,C,正确,7,7,0,2,2,not_performed,False,False,False,2,100.0,100.0
PL001_V01_Q01,PL001,国民经济行业分类,D,正确,5,5,3,0,0,verified,False,False,False,2,100.0,100.0
PL001_EnvQuality_Q01,PL001,环境质量数据引用,A,存在问题,6,6,0,6,4,insufficient_reference,False,False,True,1,83.33,83.33
PL001_EnvQuality_Q01,PL001,环境质量数据引用,B,存在问题,5,6,3,3,4,insufficient_reference,False,False,True,2,100.0,100.0
PL001_EnvQuality_Q01,PL001,环境质量数据引用,C,部分完成,7,7,0,3,5,not_performed,False,False,True,1,83.33,87.5
PL001_EnvQuality_Q01,PL001,环境质量数据引用,D,存在问题,7,9,2,3,4,insufficient_reference,False,False,True,2,100.0,100.0
PL001_Emission_固体,PL001,固体废物控制标准,A,正确,5,4,0,0,0,not_required,False,False,False,2,100.0,100.0
PL001_Emission_固体,PL001,固体废物控制标准,B,部分完成,5,5,3,1,2,verified,False,False,False,1,83.33,87.5
PL001_Emission_固体,PL001,固体废物控制标准,C,存在问题,4,7,0,6,3,not_performed,False,False,True,1,83.33,87.5
PL001_Emission_固体,PL001,固体废物控制标准,D,存在问题,6,7,3,5,5,insufficient_reference,False,False,True,1,83.33,90.0
PL002_V01_Q01,PL002,国民经济行业分类,A,部分完成,5,5,0,0,3,not_required,False,False,True,2,100.0,100.0
PL002_V01_Q01,PL002,国民经济行业分类,B,待人工复核,6,5,4,1,3,verified,False,False,True,1,83.33,87.5
PL002_V01_Q01,PL002,国民经济行业分类,C,待人工复核,8,7,0,2,3,not_performed,False,False,True,1,66.67,70.0
PL002_V01_Q01,PL002,国民经济行业分类,D,待人工复核,7,8,4,3,4,insufficient_reference,False,False,True,1,83.33,90.0
PL002_EnvQuality_Q01,PL002,环境质量数据引用,A,存在问题,4,5,0,3,3,insufficient_reference,False,False,True,1,83.33,83.33
PL002_EnvQuality_Q01,PL002,环境质量数据引用,B,存在问题,3,9,2,2,2,verified,False,False,False,2,100.0,100.0
PL002_EnvQuality_Q01,PL002,环境质量数据引用,C,部分完成,8,11,0,3,4,not_performed,False,False,True,1,83.33,87.5
PL002_EnvQuality_Q01,PL002,环境质量数据引用,D,存在问题,5,8,6,3,4,verified,False,False,True,2,100.0,100.0
PL002_Emission_大气,PL002,大气污染物排放标准,A,存在问题,8,5,4,4,6,insufficient_reference,False,False,True,2,100.0,100.0
PL002_Emission_大气,PL002,大气污染物排放标准,B,存在问题,8,10,5,5,5,insufficient_reference,False,False,True,2,100.0,100.0
PL002_Emission_大气,PL002,大气污染物排放标准,C,存在问题,10,6,0,6,7,not_performed,False,False,True,2,100.0,100.0
PL002_Emission_大气,PL002,大气污染物排放标准,D,存在问题,8,6,5,6,6,insufficient_reference,False,False,True,2,100.0,100.0
PL002_Emission_噪声,PL002,噪声排放标准,A,待人工复核,6,5,0,2,2,insufficient_reference,False,False,True,2,100.0,100.0
PL002_Emission_噪声,PL002,噪声排放标准,B,部分完成,6,6,2,2,2,insufficient_reference,False,False,True,2,100.0,100.0
PL002_Emission_噪声,PL002,噪声排放标准,C,存在问题,6,5,0,3,3,not_performed,False,False,True,2,100.0,100.0
