question_id,group,rouge_1_f1,rouge_2_f1,rouge_l_f1,bleu_4,token_precision,token_recall,token_f1,cosine_text_embedding_v4,bertscore_precision,bertscore_recall,bertscore_f1
PL001_V01_Q01,A,0.38587,0.224044,0.184783,0.142491,0.284,0.601695,0.38587,0.869806,0.650749,0.71307,0.680485
PL001_V01_Q01,B,0.390244,0.184049,0.189024,0.117405,0.304762,0.542373,0.390244,0.877775,0.656355,0.705782,0.680172
PL001_V01_Q01,C,0.394432,0.228438,0.232019,0.133266,0.271565,0.720339,0.394432,0.898198,0.633411,0.75764,0.689978
PL001_V01_Q01,D,0.408081,0.288032,0.242424,0.168333,0.267905,0.855932,0.408081,0.937157,0.662055,0.80898,0.728181
PL001_EnvQuality_Q01,A,0.320144,0.133574,0.179856,0.093866,0.340996,0.301695,0.320144,0.793626,0.618626,0.651699,0.634732
PL001_EnvQuality_Q01,B,0.306818,0.079848,0.136364,0.033274,0.347639,0.274576,0.306818,0.784073,0.594311,0.640179,0.616393
PL001_EnvQuality_Q01,C,0.228361,0.055453,0.11418,0.024394,0.25,0.210169,0.228361,0.739235,0.571163,0.584572,0.57779
PL001_EnvQuality_Q01,D,0.362229,0.136646,0.204334,0.108926,0.333333,0.39661,0.362229,0.806133,0.59818,0.712842,0.650497
PL001_Emission_固体,A,0.490644,0.354906,0.266112,0.23485,0.356495,0.786667,0.490644,0.876919,0.72203,0.794027,0.756319
PL001_Emission_固体,B,0.397614,0.255489,0.262425,0.162546,0.283286,0.666667,0.397614,0.824875,0.713043,0.756391,0.734078
PL001_Emission_固体,C,0.419087,0.266667,0.26971,0.168729,0.304217,0.673333,0.419087,0.833522,0.6814,0.746708,0.712561
PL001_Emission_固体,D,0.346591,0.242165,0.244318,0.145894,0.220217,0.813333,0.346591,0.850331,0.706168,0.792543,0.746867
PL002_V01_Q01,A,0.367925,0.203791,0.231132,0.120874,0.255738,0.655462,0.367925,0.787417,0.64121,0.764347,0.697385
PL002_V01_Q01,B,0.368308,0.219355,0.218415,0.123639,0.247126,0.722689,0.368308,0.857595,0.641694,0.77921,0.703798
PL002_V01_Q01,C,0.378601,0.231405,0.246914,0.12607,0.250681,0.773109,0.378601,0.879265,0.654208,0.7797,0.711463
PL002_V01_Q01,D,0.344605,0.22294,0.235105,0.11941,0.213147,0.89916,0.344605,0.874911,0.64493,0.784704,0.707984
PL002_EnvQuality_Q01,A,0.333913,0.153578,0.208696,0.12679,0.342857,0.325424,0.333913,0.864059,0.605754,0.706417,0.652224
PL002_EnvQuality_Q01,B,0.396135,0.203554,0.219002,0.162551,0.377301,0.416949,0.396135,0.855003,0.632127,0.730935,0.67795
PL002_EnvQuality_Q01,C,0.247458,0.044218,0.115254,0.010634,0.247458,0.247458,0.247458,0.761708,0.567207,0.595052,0.580796
PL002_EnvQuality_Q01,D,0.395672,0.226357,0.275116,0.176713,0.363636,0.433898,0.395672,0.818653,0.642655,0.739381,0.687633
PL002_Emission_大气,A,0.370876,0.289624,0.284414,0.169338,0.236575,0.857895,0.370876,0.809397,0.734279,0.802976,0.767092
PL002_Emission_大气,B,0.430199,0.282857,0.242165,0.164982,0.294922,0.794737,0.430199,0.827386,0.691663,0.781623,0.733896
PL002_Emission_大气,C,0.391198,0.303922,0.283619,0.179904,0.254777,0.842105,0.391198,0.798301,0.704732,0.7903,0.745067
PL002_Emission_大气,D,0.342105,0.231237,0.200405,0.12104,0.211779,0.889474,0.342105,0.817674,0.695869,0.787301,0.738767
PL002_Emission_噪声,A,0.290076,0.179028,0.183206,0.08346,0.174312,0.863636,0.290076,0.834417,0.637318,0.773725,0.698928
PL002_Emission_噪声,B,0.282878,0.174564,0.173697,0.088581,0.169139,0.863636,0.282878,0.852732,0.64724,0.785599,0.709739
PL002_Emission_噪声,C,0.257009,0.169014,0.163551,0.083467,0.151934,0.833333,0.257009,0.825509,0.633239,0.787523,0.702004
PL002_Emission_噪声,D,0.256729,0.153846,0.15735,0.068497,0.148681,0.939394,0.256729,0.839933,0.635156,0.76817,0.695359
PL002_Emission_固体,A,0.354098,0.226974,0.216393,0.137178,0.234783,0.72,0.354098,0.863425,0.684005,0.768206,0.723664
PL002_Emission_固体,B,0.383803,0.236749,0.253521,0.138037,0.260766,0.726667,0.383803,0.831398,0.71712,0.764507,0.740056
PL002_Emission_固体,C,0.409586,0.271335,0.261438,0.184717,0.304207,0.626667,0.409586,0.850528,0.711744,0.755417,0.73293
PL002_Emission_固体,D,0.404682,0.268456,0.284281,0.167397,0.270089,0.806667,0.404682,0.860767,0.704597,0.790407,0.74504
PL003_V01_Q01,A,0.416901,0.243626,0.287324,0.148945,0.293651,0.718447,0.416901,0.809326,0.650654,0.785536,0.711761
PL003_V01_Q01,B,0.401003,0.256927,0.225564,0.155322,0.27027,0.776699,0.401003,0.898584,0.663695,0.769938,0.712879
PL003_V01_Q01,C,0.38009,0.286364,0.294118,0.171925,0.247788,0.815534,0.38009,0.911291,0.661847,0.825812,0.734793
PL003_V01_Q01,D,0.407407,0.311628,0.296296,0.186095,0.267477,0.854369,0.407407,0.915601,0.691371,0.83534,0.756567
PL003_V01_Q03,A,0.439141,0.273381,0.26253,0.151341,0.317241,0.713178,0.439141,0.785649,0.700417,0.767107,0.732246
PL003_V01_Q03,B,0.422713,0.215873,0.252366,0.130284,0.356383,0.51938,0.422713,0.763071,0.692391,0.754707,0.722207
PL003_V01_Q03,C,0.479784,0.281843,0.296496,0.158742,0.367769,0.689922,0.479784,0.826853,0.700883,0.785324,0.740705
PL003_V01_Q03,D,0.437055,0.272076,0.266033,0.145462,0.315068,0.713178,0.437055,0.802836,0.69909,0.783817,0.739033
PL003_Emission_水污,A,0.402116,0.297872,0.26455,0.198798,0.288973,0.66087,0.402116,0.775062,0.650198,0.799034,0.716973
PL003_Emission_水污,B,0.357006,0.254335,0.257198,0.145746,0.229064,0.808696,0.357006,0.848345,0.667756,0.770541,0.715476
PL003_Emission_水污,C,0.416495,0.347826,0.358763,0.213076,0.272973,0.878261,0.416495,0.82184,0.661853,0.82957,0.736282
PL003_Emission_水污,D,0.34386,0.253521,0.245614,0.140291,0.215385,0.852174,0.34386,0.768586,0.652614,0.784961,0.712696
PL003_Emission_噪声,A,0.308271,0.19697,0.180451,0.096544,0.193396,0.759259,0.308271,0.863596,0.658071,0.75261,0.702173
PL003_Emission_噪声,B,0.28479,0.156352,0.15534,0.056553,0.172549,0.814815,0.28479,0.836649,0.625109,0.747701,0.680931
PL003_Emission_噪声,C,0.286738,0.158845,0.172043,0.073777,0.177778,0.740741,0.286738,0.833647,0.633824,0.742793,0.683996
PL003_Emission_噪声,D,0.238095,0.132979,0.15873,0.060166,0.138889,0.833333,0.238095,0.821701,0.638874,0.763587,0.695686
PL003_Emission_固体,A,0.444898,0.278689,0.261224,0.177012,0.320588,0.726667,0.444898,0.845789,0.712339,0.757013,0.733997
PL003_Emission_固体,B,0.369983,0.245184,0.226876,0.147252,0.250591,0.706667,0.369983,0.818297,0.702338,0.756133,0.728243
PL003_Emission_固体,C,0.315956,0.180666,0.21169,0.107257,0.207039,0.666667,0.315956,0.827546,0.687297,0.746985,0.715899
PL003_Emission_固体,D,0.422833,0.26327,0.2537,0.174124,0.309598,0.666667,0.422833,0.837042,0.709221,0.764318,0.735739
PL004_V01_Q01,A,0.419263,0.262108,0.226629,0.164724,0.320346,0.606557,0.419263,0.901548,0.663011,0.777258,0.715603
PL004_V01_Q01,B,0.525994,0.375385,0.35474,0.261987,0.419512,0.704918,0.525994,0.898197,0.701698,0.796788,0.746226
PL004_V01_Q01,C,0.462857,0.293103,0.257143,0.189179,0.355263,0.663934,0.462857,0.876962,0.672736,0.770249,0.718198
PL004_V01_Q01,D,0.457143,0.313466,0.316484,0.192291,0.312312,0.852459,0.457143,0.916466,0.664866,0.822351,0.73527
PL004_Emission_水污,A,0.5074,0.424628,0.448203,0.278431,0.363636,0.839161,0.5074,0.803801,0.693841,0.855921,0.766406
PL004_Emission_水污,B,0.505593,0.408989,0.362416,0.268943,0.371711,0.79021,0.505593,0.86701,0.695358,0.828736,0.756211
PL004_Emission_水污,C,0.442688,0.345238,0.339921,0.220459,0.30854,0.783217,0.442688,0.810998,0.665313,0.840514,0.742721
PL004_Emission_水污,D,0.383901,0.329193,0.28483,0.195432,0.246521,0.867133,0.383901,0.86788,0.691258,0.823489,0.751602
PL004_Emission_噪声,A,0.396947,0.255754,0.21374,0.150828,0.267123,0.772277,0.396947,0.832665,0.673346,0.751556,0.710304
PL004_Emission_噪声,B,0.374728,0.227571,0.169935,0.122937,0.240223,0.851485,0.374728,0.888102,0.683191,0.778143,0.727582
PL004_Emission_噪声,C,0.354023,0.240185,0.234483,0.133583,0.230539,0.762376,0.354023,0.877833,0.664049,0.764202,0.710614
PL004_Emission_噪声,D,0.336414,0.226345,0.181146,0.125571,0.206818,0.90099,0.336414,0.890605,0.660733,0.787574,0.7186
PL004_Emission_固体,A,0.421277,0.294872,0.289362,0.19302,0.309375,0.66,0.421277,0.848553,0.714206,0.758077,0.735488
PL004_Emission_固体,B,0.390597,0.246824,0.260398,0.146051,0.26799,0.72,0.390597,0.83398,0.700801,0.747513,0.723404
PL004_Emission_固体,C,0.383471,0.28524,0.267769,0.178869,0.254945,0.773333,0.383471,0.875523,0.690182,0.764429,0.72541
PL004_Emission_固体,D,0.383518,0.257552,0.215531,0.159205,0.251559,0.806667,0.383518,0.842337,0.691572,0.767286,0.727464
PL005_Emission_水污,A,0.511749,0.440945,0.443864,0.311976,0.384314,0.765625,0.511749,0.817337,0.687194,0.840833,0.756289
PL005_Emission_水污,B,0.471579,0.359408,0.341053,0.221071,0.322767,0.875,0.471579,0.889997,0.699264,0.824665,0.756805
PL005_Emission_水污,C,0.443966,0.354978,0.366379,0.229052,0.306548,0.804688,0.443966,0.850171,0.687371,0.836093,0.754473
PL005_Emission_水污,D,0.380952,0.310757,0.329365,0.195382,0.255319,0.75,0.380952,0.811314,0.686128,0.796784,0.737328
PL005_Emission_噪声,A,0.320225,0.20904,0.202247,0.095481,0.196552,0.863636,0.320225,0.864899,0.676178,0.78809,0.727857
PL005_Emission_噪声,B,0.310526,0.21164,0.178947,0.107117,0.187898,0.893939,0.310526,0.868773,0.673927,0.779547,0.722899
PL005_Emission_噪声,C,0.290237,0.201592,0.17942,0.091949,0.175719,0.833333,0.290237,0.849305,0.644185,0.775602,0.703812
PL005_Emission_噪声,D,0.287154,0.167089,0.186398,0.081759,0.172205,0.863636,0.287154,0.83772,0.655206,0.768999,0.707556
PL005_Emission_固体,A,0.425447,0.283433,0.27833,0.176726,0.303116,0.713333,0.425447,0.839419,0.724965,0.753437,0.738927
PL005_Emission_固体,B,0.418301,0.249453,0.27451,0.16493,0.31068,0.64,0.418301,0.802254,0.705322,0.745968,0.725075
PL005_Emission_固体,C,0.435644,0.290258,0.312871,0.191806,0.309859,0.733333,0.435644,0.844659,0.701908,0.775757,0.736987
PL005_Emission_固体,D,0.426374,0.251656,0.272527,0.158644,0.318033,0.646667,0.426374,0.811378,0.709509,0.736647,0.722823
PL006_EnvQuality_Q01,A,0.319635,0.131298,0.17656,0.055193,0.433884,0.253012,0.319635,0.840503,0.647472,0.659588,0.653474
PL006_EnvQuality_Q01,B,0.385773,0.183813,0.232558,0.12848,0.446203,0.339759,0.385773,0.840439,0.658525,0.702823,0.679953
PL006_EnvQuality_Q01,C,0.37274,0.147838,0.211405,0.095131,0.440789,0.322892,0.37274,0.8525,0.639916,0.690958,0.664458
PL006_EnvQuality_Q01,D,0.463235,0.248157,0.264706,0.215806,0.471322,0.455422,0.463235,0.905606,0.682159,0.748311,0.713705
