question_id,A,B,C,D,rag_main_effect,skill_main_effect,beta3_interaction,case_type
PL001_V01_Q01,100.0,100.0,100.0,100.0,0.0,0.0,0.0,neutral
PL001_EnvQuality_Q01,83.33,100.0,83.33,100.0,16.67,-0.0,0.0,neutral
PL001_Emission_固体,100.0,83.33,83.33,83.33,-8.335,-8.335,16.67,synergy
PL002_V01_Q01,100.0,83.33,66.67,83.33,-0.005,-16.665,33.33,synergy
PL002_EnvQuality_Q01,83.33,100.0,83.33,100.0,16.67,-0.0,0.0,neutral
PL002_Emission_大气,100.0,100.0,100.0,100.0,0.0,0.0,0.0,neutral
PL002_Emission_噪声,100.0,100.0,100.0,100.0,0.0,0.0,0.0,neutral
PL002_Emission_固体,83.33,83.33,83.33,83.33,0.0,0.0,0.0,neutral
PL003_V01_Q01,100.0,100.0,100.0,100.0,0.0,0.0,0.0,neutral
PL003_V01_Q03,83.33,83.33,83.33,83.33,0.0,0.0,0.0,neutral
PL003_Emission_水污,83.33,83.33,83.33,83.33,0.0,0.0,0.0,neutral
PL003_Emission_噪声,100.0,100.0,83.33,83.33,-0.0,-16.67,0.0,neutral
PL003_Emission_固体,100.0,100.0,100.0,100.0,0.0,0.0,0.0,neutral
PL004_V01_Q01,100.0,100.0,100.0,83.33,-8.335,-8.335,-16.67,antagonism
PL004_Emission_水污,83.33,100.0,83.33,100.0,16.67,-0.0,0.0,neutral
PL004_Emission_噪声,100.0,100.0,100.0,100.0,0.0,0.0,0.0,neutral
PL004_Emission_固体,100.0,83.33,100.0,100.0,-8.335,8.335,16.67,synergy
PL005_Emission_水污,66.67,100.0,66.67,100.0,33.33,0.0,0.0,neutral
PL005_Emission_噪声,100.0,100.0,100.0,100.0,0.0,0.0,0.0,neutral
PL005_Emission_固体,100.0,66.67,100.0,100.0,-16.665,16.665,33.33,synergy
PL006_EnvQuality_Q01,83.33,66.67,83.33,100.0,0.005,16.665,33.33,synergy
