excluded_category,n_excluded,n_kept,c3_rag_main,rag_main_t,rag_main_p,c3_skill_main,skill_main_t,skill_main_p,c3_interaction,interaction_t,interaction_p
(none / full 48),0,48,0.1146,1.0263,0.31,-0.2188,-2.3557,0.0227,0.3958,3.351,0.0016
ActivatedCarbon,2,46,0.1196,1.0264,0.3102,-0.2283,-2.3607,0.0226,0.413,3.367,0.0016
CaptureAirflow,5,43,0.1395,1.1484,0.2573,-0.2093,-2.0615,0.0455,0.3721,2.9859,0.0047
CaptureEfficiency,4,44,0.0909,0.7591,0.4519,-0.1591,-1.7095,0.0946,0.4091,3.2149,0.0025
Coefficient,5,43,0.0698,0.5955,0.5547,-0.186,-1.8376,0.0732,0.3256,2.6413,0.0116
Construction,4,44,0.1591,1.3472,0.185,-0.2273,-2.3818,0.0217,0.3636,2.9795,0.0047
DesignAirflow,3,45,0.0667,0.6935,0.4917,-0.2,-2.1153,0.0401,0.4,3.2071,0.0025
Emission_噪声,4,44,0.125,1.0264,0.3105,-0.1705,-1.885,0.0662,0.4318,3.3847,0.0015
Emission_固废,5,43,0.1744,1.4553,0.153,-0.2674,-2.7425,0.0089,0.3488,2.8133,0.0074
Emission_大气,1,47,0.117,1.0263,0.3101,-0.2234,-2.3581,0.0227,0.4043,3.3588,0.0016
Emission_水污,3,45,0.0556,0.5087,0.6135,-0.2333,-2.3634,0.0226,0.4222,3.3756,0.0015
EnvQuality,3,45,0.0667,0.5784,0.5659,-0.2667,-2.9391,0.0052,0.3556,3.2088,0.0025
HazardousWaste,2,46,0.1196,1.0264,0.3102,-0.2283,-2.3607,0.0226,0.413,3.367,0.0016
V01,5,43,0.1744,1.4695,0.1491,-0.2209,-2.174,0.0354,0.4884,4.1723,0.0001
VOCSTotal,2,46,0.1304,1.1272,0.2656,-0.2391,-2.5046,0.0159,0.3913,3.1998,0.0025
