run_id,question_id,task_type,model,kc,status,input_status,output_tokens,answer_chars,causes,is_valid_data
PL004_V01_Q01__A1_K1,PL004_V01_Q01,国民经济行业分类,A1,K1,OK,ready,7836,2915,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL004_V01_Q01__A1_K2,PL004_V01_Q01,国民经济行业分类,A1,K2,OK,ready,6179,2452,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL004_V01_Q01__A1_K3,PL004_V01_Q01,国民经济行业分类,A1,K3,OK,ready,6171,2624,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL004_V01_Q01__A2_K1,PL004_V01_Q01,国民经济行业分类,A2,K1,OK,ready,1670,989,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL004_V01_Q01__A2_K2,PL004_V01_Q01,国民经济行业分类,A2,K2,OK,ready,1861,960,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL004_V01_Q01__A2_K3,PL004_V01_Q01,国民经济行业分类,A2,K3,OK,ready,1526,862,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL004_V01_Q01__A3_K1,PL004_V01_Q01,国民经济行业分类,A3,K1,OK,ready,4523,2651,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL004_V01_Q01__A3_K2,PL004_V01_Q01,国民经济行业分类,A3,K2,OK,ready,6914,2048,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL004_V01_Q01__A3_K3,PL004_V01_Q01,国民经济行业分类,A3,K3,OK,ready,4540,1690,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A1_K1,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A1,K1,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I2_CTX_SECTION_DEFECT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A1_K2,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A1,K2,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I2_CTX_SECTION_DEFECT;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A1_K3,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A1,K3,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I2_CTX_SECTION_DEFECT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A2_K1,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A2,K1,OK,ready,3613,1310,E4_FORMAT_NOT_JSON;I2_CTX_SECTION_DEFECT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A2_K2,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A2,K2,OK,ready,3540,1609,E4_FORMAT_NOT_JSON;I2_CTX_SECTION_DEFECT;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A2_K3,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A2,K3,OK,ready,3828,1263,E4_FORMAT_NOT_JSON;I2_CTX_SECTION_DEFECT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A3_K1,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A3,K1,TRUNCATED,ready,8192,1277,E3_TRUNC_PARTIAL;I2_CTX_SECTION_DEFECT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A3_K2,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A3,K2,TRUNCATED,ready,8192,1526,E3_TRUNC_PARTIAL;I2_CTX_SECTION_DEFECT;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL010_VOCSTotal_Q01__A3_K3,PL010_VOCSTotal_Q01,VOCs总量控制与一致性,A3,K3,TRUNCATED,ready,8192,574,E3_TRUNC_PARTIAL;I2_CTX_SECTION_DEFECT;I4_RAG_INSTRUCTION;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A1_K1,PL002_V01_Q01,国民经济行业分类,A1,K1,OK,ready,5748,3967,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A1_K2,PL002_V01_Q01,国民经济行业分类,A1,K2,OK,ready,7030,4664,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A1_K3,PL002_V01_Q01,国民经济行业分类,A1,K3,OK,ready,7478,4767,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A2_K1,PL002_V01_Q01,国民经济行业分类,A2,K1,OK,ready,1637,1091,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A2_K2,PL002_V01_Q01,国民经济行业分类,A2,K2,OK,ready,2316,1709,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A2_K3,PL002_V01_Q01,国民经济行业分类,A2,K3,OK,ready,2723,1484,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A3_K1,PL002_V01_Q01,国民经济行业分类,A3,K1,OK,ready,8042,5568,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A3_K2,PL002_V01_Q01,国民经济行业分类,A3,K2,OK,ready,4884,2511,E4_FORMAT_NOT_JSON;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL002_V01_Q01__A3_K3,PL002_V01_Q01,国民经济行业分类,A3,K3,OK,ready,7103,3602,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A1_K1,PL005_Emission_固体,固体废物控制标准,A1,K1,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A1_K2,PL005_Emission_固体,固体废物控制标准,A1,K2,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I3_WEB_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A1_K3,PL005_Emission_固体,固体废物控制标准,A1,K3,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A2_K1,PL005_Emission_固体,固体废物控制标准,A2,K1,OK,ready,2530,1267,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A2_K2,PL005_Emission_固体,固体废物控制标准,A2,K2,OK,ready,3001,1402,E4_FORMAT_NOT_JSON;I3_WEB_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A2_K3,PL005_Emission_固体,固体废物控制标准,A2,K3,OK,ready,3013,1374,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A3_K1,PL005_Emission_固体,固体废物控制标准,A3,K1,TRUNCATED,ready,8192,2529,E3_TRUNC_PARTIAL;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A3_K2,PL005_Emission_固体,固体废物控制标准,A3,K2,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I3_WEB_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL005_Emission_固体__A3_K3,PL005_Emission_固体,固体废物控制标准,A3,K3,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL013_HazardousWaste_Q01__A1_K1,PL013_HazardousWaste_Q01,危险废物识别,A1,K1,TRUNCATED,ready,8192,6131,E3_TRUNC_PARTIAL;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL013_HazardousWaste_Q01__A1_K2,PL013_HazardousWaste_Q01,危险废物识别,A1,K2,TRUNCATED,ready,8192,0,E2_TRUNC_EMPTY;I5_WEB_SNAPSHOT_DRIFT;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
PL013_HazardousWaste_Q01__A1_K3,PL013_HazardousWaste_Q01,危险废物识别,A1,K3,OK,ready,7354,3895,E4_FORMAT_NOT_JSON;P1_PROMPT_CHANGED;S1_GOLD_UNCONFIRMED,False
