project_id,question_ids,file_name,file_type,version_label,document_date,public_source_url,sha256,size_bytes,public_upload_allowed,notes
PL001,"NEW_PL001_invest_ratio, PL001_Emission_固体",MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL002,"PL002_V01_Q01, H10_PL002_StackHeightRate, H05_PL002_LivingWastewaterCalc",MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL004,"PL004_V01_Q01, H01_PL004_DesignAirflow, H02_PL004_VOCsMassBalance, H03_PL004_HWClassify_OilBarrel, H04_PL004_MultiStandardApp",MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL005,PL005_Emission_固体,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL006,"NEW_PL006_invest_ratio, NEW_PL006_living_wastewater, H09_PL006_FencelineNMHC",MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL007,"NEW_PL007_ro_water, PL007_CaptureEfficiency_Q01",MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL008,"PL008_VOCSMeasure_Q01, PL008_VOCSTotal_Q01, PL008_DesignAirflow_Q01",MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL010,"NEW_PL010_invest_ratio, H06_PL010_VOCsTotalSubstitution",MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL013,PL013_HazardousWaste_Q01,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL014,PL014_CaptureAirflow_Q01,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
PL015,"NEW_PL015_invest_ratio, H07_PL015_HWStorageStandard",MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,NA,未找到原始报告文件，需补充
