project_id,parsed_file,parsed_format,source_report,parse_method,sha256,size_bytes,notes
PL001,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL002,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL004,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL005,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL006,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL007,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL008,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL010,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL013,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL014,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
PL015,MISSING,MISSING,MISSING,MISSING,MISSING,0,未找到独立解析文件（解析可能嵌入在chunk中）
