question_id,external_rule_required,expected_source_title,expected_source_version,expected_article_or_table,expected_quote_short,source_exists_in_kb,card_exists,chunk_exists,effective_on_report_date,applicability_boundary_present,kb_coverage_verdict
NEW_PL001_invest_ratio,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL006_invest_ratio,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL015_invest_ratio,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL007_ro_water,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL006_living_wastewater,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL002_V01_Q01,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL004_V01_Q01,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL005_Emission_固体,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL007_CaptureEfficiency_Q01,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_VOCSMeasure_Q01,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL010_invest_ratio,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_VOCSTotal_Q01,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL013_HazardousWaste_Q01,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL014_CaptureAirflow_Q01,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL001_Emission_固体,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_DesignAirflow_Q01,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H01_PL004_DesignAirflow,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H02_PL004_VOCsMassBalance,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H03_PL004_HWClassify_OilBarrel,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H06_PL010_VOCsTotalSubstitution,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H07_PL015_HWStorageStandard,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H09_PL006_FencelineNMHC,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H10_PL002_StackHeightRate,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H04_PL004_MultiStandardApp,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H05_PL002_LivingWastewaterCalc,YES,待GPT审计,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
