question_id,evidence_id,claim_supported,word_location,word_quote_short,present_in_parsed,parsed_location,present_in_chunk,chunk_id,selected_for_context,present_in_final_prompt,truncated,verdict
NEW_PL001_invest_ratio,NEW_PL001_invest_ratio_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL006_invest_ratio,NEW_PL006_invest_ratio_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL015_invest_ratio,NEW_PL015_invest_ratio_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL007_ro_water,NEW_PL007_ro_water_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL006_living_wastewater,NEW_PL006_living_wastewater_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL002_V01_Q01,PL002_V01_Q01_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL004_V01_Q01,PL004_V01_Q01_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL005_Emission_固体,PL005_Emission_固体_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL007_CaptureEfficiency_Q01,PL007_CaptureEfficiency_Q01_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_VOCSMeasure_Q01,PL008_VOCSMeasure_Q01_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL010_invest_ratio,NEW_PL010_invest_ratio_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_VOCSTotal_Q01,PL008_VOCSTotal_Q01_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL013_HazardousWaste_Q01,PL013_HazardousWaste_Q01_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL014_CaptureAirflow_Q01,PL014_CaptureAirflow_Q01_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL001_Emission_固体,PL001_Emission_固体_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_DesignAirflow_Q01,PL008_DesignAirflow_Q01_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H01_PL004_DesignAirflow,H01_PL004_DesignAirflow_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H02_PL004_VOCsMassBalance,H02_PL004_VOCsMassBalance_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H03_PL004_HWClassify_OilBarrel,H03_PL004_HWClassify_OilBarrel_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H06_PL010_VOCsTotalSubstitution,H06_PL010_VOCsTotalSubstitution_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H07_PL015_HWStorageStandard,H07_PL015_HWStorageStandard_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H09_PL006_FencelineNMHC,H09_PL006_FencelineNMHC_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H10_PL002_StackHeightRate,H10_PL002_StackHeightRate_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H04_PL004_MultiStandardApp,H04_PL004_MultiStandardApp_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H05_PL002_LivingWastewaterCalc,H05_PL002_LivingWastewaterCalc_E1,待GPT审计,待GPT审计,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
