question_id,expected_rule_id,source_exists_in_kb,retrieved_any_stage,rank_before_rerank,rank_after_rerank,in_final_topk,full_decisive_clause_present,entered_prompt,used_by_answer,retrieval_verdict
NEW_PL001_invest_ratio,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL006_invest_ratio,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL015_invest_ratio,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL007_ro_water,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL006_living_wastewater,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL002_V01_Q01,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL004_V01_Q01,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL005_Emission_固体,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL007_CaptureEfficiency_Q01,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_VOCSMeasure_Q01,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
NEW_PL010_invest_ratio,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_VOCSTotal_Q01,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL013_HazardousWaste_Q01,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL014_CaptureAirflow_Q01,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL001_Emission_固体,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
PL008_DesignAirflow_Q01,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H01_PL004_DesignAirflow,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H02_PL004_VOCsMassBalance,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H03_PL004_HWClassify_OilBarrel,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H06_PL010_VOCsTotalSubstitution,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H07_PL015_HWStorageStandard,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H09_PL006_FencelineNMHC,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H10_PL002_StackHeightRate,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H04_PL004_MultiStandardApp,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
H05_PL002_LivingWastewaterCalc,待GPT审计,PENDING_AUDIT,PENDING_AUDIT,NOT_LOGGED,NOT_LOGGED,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT
