project_id,json_parseable,section_count_detected,table_count_detected,chapter_order_check,table_structure_check,numeric_fidelity_check,formula_params_check,image_textbox_check,truncation_duplication,chunk_count,overall_status,notes
PL001,YES,8,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL002,YES,13,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL004,YES,10,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL005,YES,11,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL006,YES,8,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL007,YES,8,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL008,YES,15,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL010,YES,7,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL013,YES,8,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL014,YES,15,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
PL015,YES,8,0,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,NOT_CHECKED_NO_WORD,PARTIAL_CHECK_JSON_OK,0,JSON_OK_BUT_NO_WORD_FIDELITY,JSON解析正常，但缺原始Word，无法做章节/表格/数字/公式/图片保真度核验
