question_id,kb_content_status,official_source_status,gold_passage_status,retrieval_snapshot_status,bm25_top20_count,candidate_count,decisive_hit_at_5,version_validity,applicability_match
PL001_Emission_固体,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
PL002_V01_Q01,ONLY_DERIVED_CONTENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
PL004_V01_Q01,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
PL005_Emission_固体,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
PL007_CaptureEfficiency_Q01,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
PL008_DesignAirflow_Q01,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
PL013_HazardousWaste_Q01,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
PL014_CaptureAirflow_Q01,ONLY_DERIVED_CONTENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
H01_PL004_DesignAirflow,ONLY_DERIVED_CONTENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
H03_PL004_HWClassify_OilBarrel,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
H06_PL010_VOCsTotalSubstitution,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
H07_PL015_HWStorageStandard,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
H09_PL006_FencelineNMHC,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
H10_PL002_StackHeightRate,CANDIDATES_PRESENT,DERIVED_CARD_ONLY,CANDIDATES_GENERATED_AWAITING_HUMAN,BM25_DONE_DENSE_PENDING,20,5,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY,PENDING_HUMAN_VERIFY
