source_id,title,issuing_authority,publish_date,effective_date,expiry_or_replacement_date,official_url,original_sha256,card_sha256,applicable_scope,applicable_region,source_type,traceability_level,review_status,notes
std_000,国民经济行业分类代码字段规范化与匹配,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,b6ea9504c059b5cc56685dfa3bbd86a8cb1b16251d975cd837a741f35723e706,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_001,塑料制品业 C292 适用边界,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,ef859aabad36c3a00478d790521973e4d675e5f1b7a523788cd0f73e24538960,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_002,总投资与项目规模匹配性审核,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,5155f0a0cf973a4494c20dd2dfca761972c62c43a76008a2f502386599a6a00d,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_003,顺德三线一单管控单元匹配,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,51dd55386fecb6c1284f4d22fde094eef454561ebf2e8dc3b0709c61a81c10d4,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_004,顺德管控单元准入清单一致性审核,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,7ea8f7eee9af9cf86ff260f9b7e8b69fe38a0f23e4cf25d70132541bd74643d1,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_005,建设内容工程组成完整性,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,10b9fa27566399e088c00e477c10ed1dbb1c64df2651022c74fdd6f0101c0710,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_006,顺德区环境状态公报数据引用核对,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,f4be68cc453aac97dd25b35e959c9bfeba190981678e6ea075b7d47ed4ab787a,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_007,环境空气质量标准 GB3095 一级/二级适用,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,6517fdd4488fd39ea5b7236e32058c6b0eda498d59b9b82e1c910ff74afabb1c,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_008,地表水环境质量标准 GB3838 类别限值,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,0272b7429ad2f9cae7ad3b1f64eb59cd50bcfbfc0eafe0fc6a63b486e1e68938,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
std_009,顺德污水厂受纳水体与地表水类别速查,待确认,待确认,待确认,待确认,待确认,DERIVED_CARD_NO_ORIGINAL,af9dfe250645f7e221f56d52d5b3d5674ebb9b171b8105f55d6c990b804d9096,待确认,全国,standard,DERIVED_CARD,DERIVED_CANDIDATE_NEEDS_HUMAN_VERIFY,从standard_cards.json提取；为二手知识卡，非官方原文；需人工核对版本、适用范围、条款原文
