run_id,question_id,knowledge_condition,model,status,analysis_role
run_001,NEW_PL001_invest_ratio,K1,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_002,NEW_PL001_invest_ratio,K2,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_003,NEW_PL001_invest_ratio,K3,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_004,NEW_PL006_invest_ratio,K1,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_005,NEW_PL006_invest_ratio,K2,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_006,NEW_PL006_invest_ratio,K3,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_007,NEW_PL010_invest_ratio,K1,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_008,NEW_PL010_invest_ratio,K2,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_009,NEW_PL010_invest_ratio,K3,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_010,NEW_PL015_invest_ratio,K1,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_011,NEW_PL015_invest_ratio,K2,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_012,NEW_PL015_invest_ratio,K3,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_013,PL001_Emission_固体,K1,qwen3.8-max,PENDING,RAG_PRIMARY
run_014,PL001_Emission_固体,K2,qwen3.8-max,PENDING,RAG_PRIMARY
run_015,PL001_Emission_固体,K3,qwen3.8-max,PENDING,RAG_PRIMARY
run_016,PL002_V01_Q01,K1,qwen3.8-max,PENDING,RAG_PRIMARY
run_017,PL002_V01_Q01,K2,qwen3.8-max,PENDING,RAG_PRIMARY
run_018,PL002_V01_Q01,K3,qwen3.8-max,PENDING,RAG_PRIMARY
run_019,PL005_Emission_固体,K1,qwen3.8-max,PENDING,RAG_PRIMARY
run_020,PL005_Emission_固体,K2,qwen3.8-max,PENDING,RAG_PRIMARY
run_021,PL005_Emission_固体,K3,qwen3.8-max,PENDING,RAG_PRIMARY
run_022,PL004_V01_Q01,K1,qwen3.8-max,PENDING,RAG_PRIMARY
run_023,PL004_V01_Q01,K2,qwen3.8-max,PENDING,RAG_PRIMARY
run_024,PL004_V01_Q01,K3,qwen3.8-max,PENDING,RAG_PRIMARY
run_025,PL008_VOCSTotal_Q01,K1,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_026,PL008_VOCSTotal_Q01,K2,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_027,PL008_VOCSTotal_Q01,K3,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_028,PL008_VOCSMeasure_Q01,K1,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_029,PL008_VOCSMeasure_Q01,K2,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_030,PL008_VOCSMeasure_Q01,K3,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_031,NEW_PL006_living_wastewater,K1,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_032,NEW_PL006_living_wastewater,K2,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_033,NEW_PL006_living_wastewater,K3,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_034,NEW_PL007_ro_water,K1,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_035,NEW_PL007_ro_water,K2,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
run_036,NEW_PL007_ro_water,K3,qwen3.8-max,PENDING,REPORT_ONLY_CONTROL
